lead_id,age,annual_income,company_size,industry,website_visits,emails_opened,demo_requested,response_time_hours,previous_purchase,converted
150,45,524137,Medium,Manufacturing,5,0,0,51,0,0
151,36,1800844,Large,Tech,14,3,0,2,0,1
152,53,1229168,Medium,Tech,9,3,0,41,0,0
153,53,1646457,Medium,Retail,8,0,1,16,0,0
154,45,663476,Small,Healthcare,0,8,1,4,0,0
155,33,1700283,Large,Healthcare,15,2,0,12,1,1
156,23,1859161,Small,Tech,5,4,1,29,0,1
157,24,991757,Small,Finance,8,5,0,7,1,0
158,58,690719,Large,Manufacturing,3,7,0,14,1,1
159,38,1827937,Large,Manufacturing,1,5,1,12,0,1
160,23,1449947,Medium,Tech,3,2,0,5,0,0
161,23,862997,Large,Finance,0,5,1,32,0,0
162,49,1333578,Medium,Retail,18,0,0,43,0,0
163,44,1540768,Medium,Tech,9,3,0,69,1,0
164,58,1498898,Medium,Tech,14,5,1,45,0,1
165,53,321172,Large,Manufacturing,18,6,0,9,1,1
166,54,835843,Small,Tech,15,9,1,49,0,1
167,22,1296121,Medium,Tech,3,2,1,33,0,0
168,40,1926140,Small,Tech,1,8,0,18,0,0
169,23,881780,Small,Manufacturing,12,6,0,9,0,0
170,47,1008362,Large,Retail,0,0,0,62,0,0
171,53,813319,Small,Retail,16,1,0,57,0,0
172,27,1080298,Small,Tech,12,0,0,29,1,0
173,53,1176031,Large,Manufacturing,3,8,0,25,1,1
174,25,1570896,Medium,Retail,6,8,0,15,0,0
175,32,1766554,Small,Retail,16,6,0,6,0,1
176,38,1359622,Large,Retail,8,9,1,42,0,1
177,59,528071,Small,Manufacturing,3,2,1,29,0,0
178,45,678165,Small,Manufacturing,18,4,1,4,0,1
179,26,1008662,Medium,Tech,0,3,0,57,0,0
180,55,716366,Small,Healthcare,9,6,1,49,0,1
181,27,1615573,Large,Retail,3,8,0,44,0,0
182,43,1312117,Small,Healthcare,8,1,1,14,0,0
183,32,945188,Medium,Manufacturing,12,7,1,3,0,1
184,37,1831191,Medium,Manufacturing,13,8,0,62,1,1
185,54,715008,Large,Manufacturing,9,9,0,64,0,0
186,30,1931993,Medium,Healthcare,5,9,1,45,0,1
187,27,1554126,Small,Manufacturing,15,8,1,58,0,1
188,37,544883,Medium,Tech,5,9,1,20,1,1
189,50,1986994,Large,Manufacturing,16,6,0,58,1,1
190,24,1809090,Medium,Finance,9,8,0,57,1,1
191,41,1249491,Medium,Healthcare,17,8,0,68,0,1
192,57,971210,Medium,Finance,17,2,1,52,0,1
193,40,1229616,Large,Manufacturing,2,3,0,37,1,0
194,47,1470365,Medium,Tech,19,1,1,8,0,1
195,24,979418,Medium,Retail,14,9,0,44,0,1
196,40,1000780,Small,Manufacturing,14,2,0,5,1,1
197,41,1911754,Large,Tech,3,4,0,69,0,0
198,53,1414593,Medium,Healthcare,8,4,1,31,0,0
199,28,1526952,Large,Finance,18,5,0,45,0,1
200,54,799137,Medium,Finance,16,6,0,9,0,1
201,39,956884,Medium,Finance,10,6,0,32,0,0
202,22,924712,Medium,Healthcare,8,0,0,33,1,0
203,32,993264,Small,Tech,9,1,0,67,1,0
204,49,1141344,Small,Healthcare,17,8,1,30,0,1
205,46,1906872,Small,Finance,19,9,0,29,1,1
206,44,1741852,Large,Manufacturing,12,1,0,3,0,0
207,52,907847,Large,Retail,7,5,1,57,0,1
208,51,1403913,Small,Healthcare,6,0,1,30,1,1
209,56,1197048,Large,Healthcare,16,2,0,9,1,1
210,28,1624070,Medium,Tech,14,1,0,26,1,1
211,37,1372930,Medium,Tech,19,2,1,2,1,1
212,47,1393762,Medium,Healthcare,14,4,1,62,1,1
213,23,852433,Small,Finance,0,9,1,3,1,1
214,22,727236,Large,Retail,13,5,0,46,0,0
215,33,1958987,Small,Tech,4,8,0,68,1,0
216,26,1848459,Large,Finance,10,9,1,25,1,1
217,58,1040829,Medium,Manufacturing,15,3,0,51,1,1
218,53,1893445,Small,Tech,1,6,0,13,0,0
219,30,1961793,Large,Finance,7,5,1,44,0,1
220,56,585195,Large,Finance,10,1,0,35,0,0
221,40,875762,Medium,Retail,17,9,0,55,0,1
222,37,916036,Small,Retail,2,7,0,9,1,1
223,24,1474571,Small,Manufacturing,0,6,0,2,0,0
224,41,1594266,Small,Finance,10,6,0,61,0,0
225,45,1680346,Medium,Finance,15,7,1,41,1,1
226,54,1093392,Small,Retail,17,0,0,44,0,0
227,45,728988,Medium,Tech,15,0,0,64,0,0
228,32,480553,Medium,Tech,9,7,1,31,0,1
229,29,860696,Medium,Healthcare,17,3,0,47,1,1
230,57,1180438,Large,Retail,5,4,0,2,0,0
231,59,1608144,Small,Healthcare,18,7,1,69,1,1
232,41,619278,Small,Retail,3,4,1,58,0,0
233,56,1500139,Medium,Manufacturing,12,9,0,44,0,1
234,46,999983,Medium,Finance,13,3,1,56,0,1
235,56,1963191,Small,Manufacturing,2,5,0,43,1,0
236,46,693554,Medium,Retail,9,4,1,34,0,0
237,50,1551079,Small,Finance,5,6,0,30,0,0
238,39,1491902,Large,Tech,0,9,1,71,0,1
239,39,1359920,Medium,Tech,13,6,0,70,1,1
240,23,694966,Small,Healthcare,7,3,0,55,0,0
241,56,1940821,Medium,Retail,18,4,0,67,1,1
242,37,405423,Small,Retail,13,2,0,13,1,0
243,57,620197,Small,Tech,9,3,1,3,0,0
244,54,764071,Medium,Manufacturing,16,3,0,26,0,0
245,25,971256,Large,Finance,8,2,0,57,0,0
246,54,486833,Small,Manufacturing,5,9,0,24,0,0
247,35,1017912,Small,Manufacturing,10,4,0,53,0,0
248,42,1075435,Small,Tech,6,4,1,70,0,0
249,41,377454,Large,Tech,16,6,1,43,0,1
250,29,1606170,Large,Tech,0,3,0,60,0,0
251,28,1860473,Medium,Healthcare,4,3,1,58,0,0
252,24,1701320,Large,Manufacturing,8,8,1,49,0,1
253,38,1209164,Medium,Retail,17,5,0,42,1,1
254,54,1864718,Medium,Finance,1,3,0,66,1,0
255,33,1245439,Large,Healthcare,10,1,1,11,1,1
256,43,337641,Medium,Retail,5,5,0,18,0,0
257,43,1902575,Large,Manufacturing,7,1,1,52,0,0
258,51,1717616,Medium,Tech,3,4,0,46,0,0
259,59,912121,Large,Manufacturing,17,5,0,44,0,1
260,59,618420,Large,Finance,10,3,0,22,0,0
261,29,581685,Medium,Healthcare,4,2,0,53,1,0
262,48,1824102,Small,Healthcare,14,6,1,59,0,1
263,48,1393389,Medium,Finance,17,1,0,30,0,0
264,55,964180,Large,Retail,1,5,0,8,1,0
265,42,586214,Small,Retail,10,3,1,57,0,0
266,51,1228626,Medium,Healthcare,12,5,0,20,0,0
267,54,642703,Medium,Healthcare,3,3,0,25,0,0
268,49,504615,Medium,Tech,6,3,1,19,0,0
269,54,1825233,Small,Retail,10,3,1,5,1,1
270,26,1914650,Large,Finance,3,8,0,27,0,1
271,40,699953,Medium,Retail,14,6,0,40,0,0
272,25,1271741,Medium,Tech,0,2,0,26,1,0
273,56,1138003,Medium,Healthcare,2,2,0,27,1,0
274,38,1636230,Medium,Healthcare,13,5,0,62,1,1
275,49,581570,Medium,Tech,5,5,0,50,1,0
276,51,1385841,Large,Finance,17,3,0,42,0,1
277,50,1597897,Large,Healthcare,0,8,0,29,0,0
278,27,366150,Medium,Manufacturing,5,3,0,39,0,0
279,56,1960176,Small,Healthcare,5,8,0,60,0,0
280,58,1438189,Large,Manufacturing,15,3,1,41,1,1
281,45,637054,Small,Tech,4,1,1,33,1,0
282,50,421826,Large,Tech,16,1,0,16,0,0
283,52,859723,Medium,Healthcare,9,4,0,23,0,0
284,56,750348,Large,Retail,17,3,0,7,0,1
285,54,1558593,Medium,Manufacturing,6,6,0,26,1,1
286,42,1299554,Large,Finance,2,4,0,12,0,0
287,53,434055,Medium,Healthcare,12,5,0,5,1,1
288,44,790457,Medium,Finance,14,9,0,69,1,1
289,54,976022,Medium,Healthcare,19,3,1,49,1,1
290,24,1109942,Medium,Retail,18,1,0,26,1,1
291,39,996358,Small,Retail,2,9,0,5,1,0
292,46,1798638,Medium,Retail,3,8,1,22,0,1
293,52,1442647,Small,Retail,4,9,0,13,0,0
294,24,1655267,Small,Tech,0,6,0,28,0,0
295,45,1141052,Medium,Tech,3,3,0,33,0,0
296,53,446389,Small,Manufacturing,11,2,0,23,1,0
297,43,1988472,Large,Finance,9,9,1,18,0,1
298,44,569708,Medium,Healthcare,19,2,0,30,1,1
299,23,938112,Small,Healthcare,12,8,0,26,0,1
300,48,1311727,Medium,Tech,13,4,0,16,0,1
301,23,554444,Medium,Healthcare,4,2,0,39,1,0
302,47,903561,Medium,Tech,3,4,1,33,0,0
303,38,1161291,Small,Manufacturing,13,1,1,26,0,0
304,54,511837,Large,Finance,9,3,0,48,0,0
305,30,410017,Large,Manufacturing,16,9,0,65,1,1
306,50,423618,Small,Retail,9,1,0,38,0,0
307,47,759297,Medium,Retail,6,1,1,2,0,0
308,56,1473917,Small,Retail,15,7,0,6,0,1
309,46,1320154,Small,Manufacturing,0,0,0,46,1,0
310,45,1115862,Small,Healthcare,16,6,0,50,1,1
311,34,852076,Medium,Finance,8,4,0,38,0,0
312,28,1050865,Small,Retail,5,7,0,18,0,0
313,57,741759,Medium,Retail,18,0,0,27,1,1
314,41,1182554,Small,Retail,12,6,0,41,0,0
315,22,1912838,Large,Finance,2,4,0,17,0,0
316,29,1193741,Small,Retail,6,3,0,62,0,0
317,37,840659,Small,Finance,8,6,1,29,1,1
318,35,722845,Large,Retail,4,9,0,58,0,0
319,33,1006544,Medium,Manufacturing,9,1,0,70,0,0
320,44,624060,Medium,Manufacturing,16,0,0,22,1,0
321,36,1946836,Small,Finance,11,0,0,6,1,0
322,49,1541835,Large,Manufacturing,15,0,0,26,0,0
323,55,575128,Medium,Finance,2,4,1,39,0,0
324,23,1119471,Small,Manufacturing,8,9,0,12,1,1
325,53,909719,Large,Manufacturing,14,6,1,14,1,1
326,44,1170123,Medium,Finance,4,1,0,22,1,0
327,43,1145038,Medium,Healthcare,12,9,0,51,0,1
328,46,1752408,Large,Manufacturing,13,7,0,23,0,1
329,43,1189097,Large,Retail,19,3,0,48,1,1
330,43,1978237,Large,Healthcare,14,2,1,71,1,1
331,27,1529720,Large,Finance,15,9,1,50,0,1
332,36,550195,Small,Healthcare,12,7,1,13,0,1
333,58,1492324,Large,Tech,16,1,1,10,1,1
334,54,1752608,Medium,Tech,7,2,1,55,0,1
335,29,332733,Medium,Manufacturing,1,2,0,9,0,0
336,26,826338,Small,Manufacturing,4,9,0,52,0,0
337,25,409996,Medium,Retail,5,0,0,2,0,0
338,27,858221,Medium,Healthcare,11,5,0,25,0,0
339,53,849239,Large,Tech,17,1,1,13,1,1
340,51,856701,Medium,Manufacturing,0,0,0,51,0,0
341,56,1514449,Small,Healthcare,16,1,0,58,0,0
342,37,1250417,Large,Manufacturing,10,5,0,34,0,1
343,34,1199005,Large,Manufacturing,9,3,0,35,0,0
344,51,1336580,Small,Tech,18,5,0,3,0,1
345,40,733816,Large,Tech,13,8,0,59,0,0
346,38,1570464,Large,Manufacturing,9,9,0,70,1,1
347,40,1085332,Small,Finance,14,9,0,48,0,0
348,49,1067950,Large,Manufacturing,18,7,0,64,0,1
349,47,466472,Small,Manufacturing,3,0,0,19,0,0
350,58,697710,Small,Retail,1,7,0,67,0,0
351,47,511760,Medium,Retail,8,8,0,5,1,1
352,44,422744,Medium,Retail,9,5,0,67,0,0
353,30,1850522,Large,Finance,10,9,0,11,1,1
354,33,1391577,Large,Finance,13,4,0,68,0,0
355,22,891652,Small,Manufacturing,6,5,0,69,1,0
356,22,1211420,Large,Retail,14,5,0,1,0,1
357,55,1131460,Small,Finance,18,8,0,63,1,1
358,53,538506,Small,Tech,14,3,0,29,0,0
359,46,1053019,Large,Manufacturing,7,1,1,12,0,1
360,22,730789,Small,Healthcare,10,8,0,41,1,0
361,37,1210775,Medium,Manufacturing,8,1,1,2,1,1
362,26,1212727,Large,Healthcare,14,9,0,37,0,1
363,43,799722,Medium,Retail,0,8,0,45,0,0
364,50,858924,Large,Healthcare,0,1,0,48,0,0
365,24,479352,Small,Retail,18,7,0,24,1,1
366,33,1110694,Large,Tech,2,8,0,22,0,0
367,47,493283,Medium,Healthcare,9,9,0,11,0,1
368,37,1272346,Small,Manufacturing,7,8,0,58,1,0
369,58,1215015,Large,Retail,14,9,0,46,1,1
370,43,1798771,Large,Manufacturing,9,8,0,29,1,1
371,50,1298974,Large,Finance,0,1,0,35,1,0
372,35,731413,Medium,Retail,17,3,0,15,1,1
373,49,1652564,Medium,Healthcare,1,6,0,60,0,0
374,26,626898,Large,Retail,18,1,1,42,0,1
375,51,1251661,Small,Manufacturing,12,0,1,43,1,1
376,26,1163561,Small,Tech,0,2,1,49,0,0
377,33,602186,Medium,Retail,1,3,0,64,1,0
378,37,1410241,Small,Healthcare,15,7,1,32,0,1
379,47,1595160,Medium,Finance,14,5,1,64,0,1
380,47,1465529,Large,Tech,12,1,0,2,1,1
381,42,776072,Medium,Finance,15,8,0,24,1,1
382,57,1326553,Medium,Retail,16,1,1,66,0,1
383,54,1535202,Large,Manufacturing,6,4,0,38,1,1
384,51,445271,Small,Manufacturing,16,3,0,31,1,0
385,58,418533,Medium,Healthcare,6,6,0,26,0,0
386,44,1268452,Medium,Manufacturing,12,7,0,29,0,0
387,31,1946645,Large,Tech,4,4,1,67,1,1
388,26,1814542,Small,Manufacturing,16,9,0,25,1,1
389,57,366262,Medium,Healthcare,2,4,0,48,0,0
390,55,1133032,Large,Retail,6,1,0,65,1,0
391,52,376898,Medium,Retail,16,7,0,53,1,1
392,31,755699,Large,Manufacturing,6,1,0,67,0,0
393,40,1497945,Small,Finance,0,9,0,18,1,0
394,53,854736,Small,Retail,16,5,1,9,0,1
395,22,588316,Small,Manufacturing,16,7,0,38,0,1
396,26,1356233,Small,Healthcare,10,5,0,21,1,1
397,25,777602,Medium,Manufacturing,2,3,0,65,1,0
398,37,1244189,Medium,Retail,14,3,0,21,1,1
399,45,1339504,Small,Healthcare,10,5,1,27,0,1
400,37,674999,Small,Manufacturing,15,3,1,70,0,1
401,23,307906,Small,Tech,8,7,1,44,0,0
402,49,1672133,Medium,Healthcare,0,8,0,28,0,0
403,53,1926892,Small,Tech,15,0,0,45,0,0
404,48,1093719,Small,Finance,8,3,0,17,0,0
405,41,1644380,Small,Healthcare,18,3,0,40,0,0
406,45,1817550,Large,Tech,11,1,1,3,1,1
407,33,1146936,Small,Retail,18,5,1,66,0,1
408,56,1015080,Large,Retail,8,2,1,46,0,0
409,54,1975843,Large,Finance,6,6,1,30,0,1
410,54,334701,Small,Healthcare,13,4,1,69,0,0
411,58,1431876,Large,Healthcare,18,3,0,9,0,1
412,33,1065537,Small,Healthcare,18,4,0,11,0,1
413,24,383560,Medium,Finance,1,7,0,69,1,0
414,22,542615,Medium,Healthcare,8,2,0,66,0,0
415,54,343642,Medium,Retail,12,6,0,31,1,0
416,31,817083,Medium,Tech,14,5,0,33,1,1
417,50,791036,Large,Retail,2,0,1,39,1,0
418,34,627304,Small,Retail,10,6,0,46,0,0
419,33,665464,Small,Tech,13,6,1,37,1,1
420,52,913089,Small,Retail,7,0,1,60,0,0
421,23,1636651,Medium,Finance,17,8,0,31,0,1
422,56,1442953,Medium,Tech,18,5,0,11,1,1
423,44,626916,Small,Retail,15,1,0,2,1,0
424,38,1800554,Medium,Manufacturing,1,4,1,27,0,0
425,47,612250,Small,Retail,7,3,1,2,0,0
426,29,905409,Small,Finance,5,6,1,21,0,0
427,50,1374135,Small,Healthcare,11,7,0,58,0,0
428,47,1192027,Small,Retail,14,0,0,5,0,0
429,31,858030,Small,Healthcare,7,4,0,52,1,0
430,47,1156101,Small,Manufacturing,3,2,1,45,1,0
431,55,1483620,Small,Retail,14,0,0,20,1,1
432,28,1460793,Medium,Tech,19,2,0,61,0,0
433,25,1914737,Small,Healthcare,16,5,0,38,1,1
434,32,1192964,Small,Manufacturing,12,6,0,20,1,1
435,50,703119,Medium,Tech,17,7,0,25,1,1
436,57,958380,Medium,Tech,1,3,0,2,0,0
437,46,1435564,Medium,Tech,12,2,0,32,0,0
438,42,869936,Small,Tech,12,4,0,26,0,0
439,57,425991,Large,Retail,14,8,1,70,0,1
440,31,702732,Large,Retail,19,5,1,41,1,1
441,58,806079,Medium,Retail,9,8,0,67,1,0
442,30,826684,Large,Manufacturing,2,5,1,1,0,1
443,45,1432658,Medium,Manufacturing,18,1,0,51,0,0
444,56,428322,Small,Manufacturing,2,4,0,5,0,0
445,56,956951,Large,Finance,13,8,1,13,0,1
446,57,311303,Small,Manufacturing,7,7,1,19,0,0
447,39,1510209,Large,Retail,3,6,1,12,1,1
448,53,1682439,Small,Retail,19,0,0,48,0,0
449,45,1598266,Large,Finance,10,3,0,25,1,1
450,44,1309612,Small,Finance,10,6,1,57,0,1
451,53,399616,Small,Manufacturing,10,6,0,35,0,0
452,58,1210597,Large,Healthcare,1,5,0,5,0,0
453,33,1434807,Small,Finance,16,7,1,22,1,1
454,34,569458,Small,Tech,8,5,1,57,0,0
455,44,1368199,Small,Retail,1,9,1,47,1,1
456,46,1023035,Large,Tech,14,2,0,54,0,0
457,56,790042,Large,Retail,15,3,1,3,1,1
458,51,758298,Small,Retail,3,2,0,53,1,0
459,38,1347343,Small,Finance,7,0,0,31,0,0
460,41,1825416,Large,Finance,8,9,0,69,1,1
461,46,405228,Large,Tech,4,4,0,33,0,0
462,43,726346,Small,Retail,15,0,0,50,1,0
463,34,1184056,Small,Tech,12,0,0,16,0,0
464,40,1869123,Small,Healthcare,6,1,0,39,0,0
465,57,1417850,Medium,Tech,19,3,0,46,1,1
466,33,1482117,Large,Manufacturing,16,5,0,47,1,1
467,40,1402523,Medium,Tech,2,7,0,44,0,0
468,33,1543268,Large,Manufacturing,4,2,0,9,1,1
469,30,348874,Large,Manufacturing,18,0,1,50,0,1
470,28,1922572,Large,Manufacturing,11,2,1,60,0,1
471,49,1423129,Large,Healthcare,6,2,0,15,1,0
472,35,892632,Large,Tech,8,4,1,36,0,1
473,52,1009662,Large,Tech,5,3,0,63,0,0
474,40,871926,Large,Healthcare,16,3,0,69,1,1
475,37,1426825,Medium,Retail,15,8,1,41,0,1
476,26,827007,Small,Finance,2,6,0,24,1,0
477,56,978250,Small,Tech,3,3,1,49,0,0
478,33,770452,Medium,Finance,9,2,0,18,0,0
479,46,1778301,Medium,Healthcare,4,5,1,7,0,1
480,42,342534,Medium,Retail,9,2,0,4,1,0
481,57,795518,Medium,Retail,11,5,0,69,1,0
482,44,916529,Large,Retail,9,8,0,60,0,1
483,37,712003,Small,Healthcare,12,5,1,55,0,0
484,35,426209,Large,Manufacturing,10,3,0,16,1,1
485,52,742061,Small,Manufacturing,15,4,1,29,0,1
486,26,1537580,Small,Finance,7,5,0,23,1,0
487,56,916412,Medium,Manufacturing,7,2,0,14,0,0
488,44,1964523,Large,Manufacturing,7,7,0,49,1,1
489,50,464134,Medium,Retail,12,3,0,33,0,0
490,32,1424289,Large,Retail,1,7,1,25,1,1
491,39,788972,Small,Finance,11,9,0,21,1,1
492,33,1277965,Medium,Tech,9,9,0,17,0,1
493,30,1423994,Medium,Finance,11,2,0,23,0,0
494,31,1284176,Small,Finance,10,9,0,57,1,1
495,38,1476808,Small,Healthcare,14,6,1,58,1,1
496,59,820551,Small,Healthcare,15,8,0,14,0,1
497,28,463038,Medium,Finance,16,3,0,20,0,0
